Project Title,Type of Research,Project Description,Relevant Links,Key Words
NIH - National Cancer Institute (NCI),,"Applications will be accepted on a rolling basis through June 25, 2020.
To better understand the impact of SARS-CoV-2 infection and its impact on cancer patients' disease progression, response to therapy, care delivery, or survivorship, the National Cancer Institute encourages the submission of applications to either PA-18-935, Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement - Clinical Trial Optional) or to PA-18-591, Administrative Supplements to Existing Grants and Cooperative Agreements (Parent Admin Supp - Clinical Trial Optional). Of particular interest are studies that take advantage of unique cancer model systems or analytical tools to study the consequences of SARS-CoV-2 infection and COVID-19 disease progression. Supported research is expected to inform future efforts to diagnose, prevent, mitigate, or treat this viral infection in persons with cancer (or pre-cancer), undergoing treatment for cancer, or are in remission.",https://grants.nih.gov/grants/guide/notice-files/NOT-CA-20-042.html,Technology and Computer Science
"NIH - National Cancer Institute (NCI), National Institute of Allergy and Infectious Diseases (NIAID)",,"The purpose of the FOA is to establish Serological Sciences Centers of Excellence with the goal of identifying and advancing research opportunities to characterize the immune responses elicited by SARS-CoV-2 viral infection; understanding the mechanisms driving the serological, humoral and cellular immune responses; determining host, genetic, and environmental modifiers of the immune response; determining the serological correlates of disease pathogenesis and protection against future infection; defining access, communication, and implementation barriers related to SARS-CoV-2 serological testing. These U54 Centers will be part of a Serological Sciences Network (SeroNet). Other components of the Network will include Serological Sciences Research Projects (U01), the FNLCR Serology Laboratory, Serological Capacity Building Centers (CBC) and a Serological Sciences Network Coordinating Center (SSNCC) which will be managed through Frederick National Lab for Cancer Research (FNLCR), a Federally Funded Research and Development Center. It may also include SBIR grants and other grants and contracts related to serology associated with SARS-CoV-2. All components are expected to collaborate across the entire Network, sharing data, results, and reagents.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=327535,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: 1) Incorporation of new and emerging data related to SARS-CoV-2 into ongoing research efforts to develop microphysiological systems/tissue chips models for COVID-19, 2) Use of microphysiological systems/tissue chips or evaluating, repurposing or modification of diagnostic tools to enable rapid detection of COVID-19 infection, 3) Use of microphysiological systems/tissue chips for the rapid development and assessment of potential therapeutic agents for COVID-19.",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-017.html,Technology and Computer Science
NIH - National Center for Complementary and Integrative Health (NCCIH),,"Applications will be accepted on a rolling basis through October 06, 2020.
National Center for Complementary and Integrative Health (NCCIH): is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 Novel Coronavirus (2019-nCoV, also known as COVID-19). Topics of specific interest for this NOSI include research on stress management strategies, including mind and body approaches, that individuals may engage in remotely to address stressors related to social distancing, as well as to address recovery and recurrence of symptoms during and after COVID-19 infections. To better understand the impact of stress management strategies in the context of the COVID-19 pandemic, NCCIH is encouraging the submission of applications for Administrative Supplements or Competitive Revisions to active grants. Applicants should propose research that can be completed remotely, without any in-person contact between study staff and research participants. Interventions proposed for study should already be fully developed and ready for immediate testing. For the areas of research interest please see notice.",https://grants.nih.gov/grants/guide/notice-files/not-at-20-011.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,Support the use of Collaborative Cross (CC) mouse lines to advance understanding of the host genetics involved in immune regulation and function and to further develop CC mouse lines that more faithfully reproduce human immune responses.,https://grants.nih.gov/grants/guide/pa-files/PAR-18-781.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and/or Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-177.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select National Institute of Allergy and Infectious Diseases (NIAID) Emerging Infectious Diseases/Pathogens.",https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-20-028.html,Other
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),,"Applications will be accepted on a rolling basis through November 10, 2020
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies.",https://grants.nih.gov/grants/guide/notice-files/not-eb-20-008.html,Technology and Computer Science
NIH - National Institute of Environmental Health Sciences (NIEHS),,"Applications will be accepted on a rolling basis through May 4, 2021.
National Institute of Environmental Health Sciences (NIEHS) seeks to promote rapid understanding of the potential contributions of current and past exposure to environmental agents that may exacerbate COVID-19 susceptibility, disease severity, and progression. Examples of environmental exposures relevant to the NIEHS mission include: toxic chemicals, air pollutants, second hand tobacco smoke, e-cigarette vapors, metals, and other environmental chemical exposures that may impact health outcomes. In addition, some health outcomes that are linked to environmental exposures (asthma, diabetes, and other pulmonary, cardiovascular, and metabolic diseases) are also risk factors for COVID-19. NIEHS is accepting applications addressing COVID-19 through the administrative supplement (PA-18-591), urgent competitive revision (PA-18-935), and time-sensitive mechanisms (RFA-ES-19-011).",https://grants.nih.gov/grants/guide/notice-files/not-es-20-020.html,Technology and Computer Science
NIH - National Institute of Health,,"Call for prototypes for testing and clinical review. This website accepts designs that are created to support the manufacturing of personal protective equipment (PPE) or other necessary medical devices that are in short supply due to the COVID-19 outbreak. While many can be printed with a 3D printer at home or your local Maker space, the National Institute of Health (NIH), Food and Drug Administration (FDA), Veterans Affairs (VA), America Makes, and the contributing creators cannot ensure the quality, safety, and efficacy of these designs when manufactured without proper quality controls and processes. This collection represents a coordinated effort among the FDA, VA, and America Makes to connect healthcare providers and 3D printing organizations.",https://3dprint.nih.gov/collections/covid-19-response,Other
NIH - National Institute of Health,,"Applicant organizations may submit more than one application, provided that each application is scientifically distinct.
The NIH Director's Transformative Research Award Program supports collaborative investigative teams or individual scientists who propose unusually innovative research projects. For this FOA, the project should have the potential to have a broad impact on SARS-Cov-2 prevention, preparation, or response. To be considered transformative, projects must have the potential to create or overturn fundamental scientific paradigms through novel concepts or perspectives, transform the way research is conducted through the development of novel tools or technologies, or lead to major improvements through the development of highly innovative diagnostic, therapeutic, or preventive strategies. Consistent with this focus, Transformative Research Award applications should propose research substantially different from current mainstream research.",https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-020.html,Other
NIH - National Institute of Health - Muliple divisions,,"The letter of intent due date is September 04, 2020. The first standard due date for this FOA is October 5, 2020.
The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations.",https://grants.nih.gov/grants/guide/pa-files/PA-20-172.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"This FOA is expected to be published June 20, 2020 with an expected application due date in July 2020.
The National Institute of Mental Health (NIMH) with other ICs are issuing this Notice of Intent to Publish a Funding Opportunity Announcement to promote new initiatives that will solicit applications to support research to determine the role and impact of digital health interventions [e.g., mobile health (mhealth), telemedicine and telehealth, health information technology (IT), wearable devices] to address secondary health effects of the social, behavioral, and economic changes following the COVID-19 pandemic, particularly among populations who experience health disparities and vulnerable populations. This FOA will utilize the R01 activity code and academic researchers will be required to partner with digital health developers and/or existing well-established digital health delivery platforms to prepare and submit applications. This notice is provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive applications. Details of the planned FOAs are provided in notice.",https://grants.nih.gov/grants/guide/notice-files/not-mh-20-058.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand the social, ethical, and behavioral implications (SEBI) of COVID-19 testing among underserved and/or vulnerable populations across the United States through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-119.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from May 01, 2020 through May 01, 2021.
The National Institute on Minority Health and Health Disparities (NIMHD) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the impact of the novel Coronavirus (SARS-CoV-2) pandemic causing COVID-19 disease outbreaks and the resulting disruptions on individual and social wellbeing, health services use, and health outcomes for NIH-designated health disparity populations.The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs where we anticipate health disparities will be most prominent will be seen as a high priority. The National Institute on Aging (NIA) will accept applications for supplements and revisions to NIA-supported projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIA. Applications are encouraged that address the specific needs and circumstances of midlife and older adults, including, but not limited to, individuals with Mild Cognitive Impairment (MCI), Alzheimer's disease and Alzheimer's disease related dementias (AD/ADRD) and their healthcare providers and caregivers.",https://grants.nih.gov/grants/guide/notice-files/NOT-MD-20-019.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for Application Due Dates of August 7, 2020 OR September 8, 2020. Applications received after September 8, 2020 will not be considered.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-120.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from April 6, 2020 through May 1, 2021.
National Institute on Aging (NIA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address the following research areas of interest: Division of Aging Biology, Division of Neuroscience, Division of Geriatrics and Clinical Gerontology, Division of Behavioral and Social Research. The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs and/or suicide risk in midlife and older age adults will be seen as a high priority.",https://grants.nih.gov/grants/guide/notice-files/NOT-AG-20-022.html,Technology and Computer Science
NIH - National Institute on Deafness and Other Communication Disorders (NIDCD),,"This notice applies to due dates on or after October 5, 2020 and subsequent receipt dates through September 8, 2022.
Coronavirus Disease 2019 (COVID-19) is a recently emerged human disease caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is a paucity of data on the impact of SARS-CoV-2 on the sensory and communicative functions within the scientific mission areas of NIDCD. NIDCD invites applications for research on COVID-19 in relation to NIDCD’s scientific programs of hearing, balance, taste, smell, voice, speech and language (HBTSVSL). Given the early stage of COVID-19 research, it is critical that there is a strong premise for research proposals submitted in response to this NOSI. When appropriate, NIDCD encourages multi-disciplinary approaches to move the research beyond in vitro and animal models. See guidelines for areas of research.",https://grants.nih.gov/grants/guide/notice-files/not-dc-20-008.html,Technology and Computer Science
NIH - National Library of Medicine (NLM),,"In order to rapidly improve our understanding of the infection of SARS-CoV-2 and of COVID-19, NLM is encouraging the submission of R21 applications to address the following research areas of interest: 1) Methods for mining clinical data that can be used to identify or predict presence of COVID-19 in biomedical phenotype data, or other relevant topics such as discovery of risks for infection by SARS-Cov-2 viruses, use of standard terminologies for these viruses in federated health data sets, 2) Public health surveillance methods that mines genomic, viromic, health data, environmental data and/or data from other pertinent sources such as social media, to identify spread and impact of SARS-Cov-2.",https://grants.nih.gov/grants/guide/notice-files/NOT-LM-20-011.html,Technology and Computer Science
National Science Foundation (NSF),,The Computing Research Association (CRA) and the Computing Community Consortium (CCC) are pleased to announce a new Computing Innovation Fellows (CIFellows) Program for 2020.  This program recognizes the significant disruption to the academic job search caused by the COVID-19 pandemic and associated economic uncertainty. Its targets include recent and soon-to-be PhD graduates in computing whose academic job search was impacted by COVID-19 and aims to provide them with a career-enhancing bridge experience.,https://cifellows2020.org/,Technology and Computer Science
National Science Foundation (NSF),,"Development and deployment of new technologies, products, processes, and services with the potential to positively impact the nation's and world's ability to respond to the COVID-19 crisis. Areas of research that might be considered include, but are not limited to: artificial intelligence, digital health, diagnostics, distributed ledger, environmental technologies, medical devices, pharmaceutical technologies, disinfection and sterilization, and filtration and separations.",https://www.nsf.gov/pubs/2020/nsf20065/nsf20065.jsp?org=NSF,Other
National Science Foundation (NSF) - Binational Science Foundation (BSF),,"These programs have no deadline; applications are welcomed until further notice. Israeli PIs must submit their proposal to the BSF within seven days after the U.S. PI submits to the NSF.
Call for Proposals in Joint NSF-BSF Programs Dealing with the Coronavirus Disease. The U.S.-Israel Binational Science Foundation (BSF) is accepting applications dealing with the Coronavirus Disease in all the active NSF-BSF programs.",https://www.bsf.org.il/funding-opportunities/nsf-bsf-joint-research-grants/the-programs/,Biomedical
Virginia Catalyst,,"Now being accepted are letters of intent for Grant Round 11 to fund the development and commercialization of life science projects that address major unmet needs for improving human health and advancing Virginia's economy. While all life science projects will be accepted for Grant Round 11, given the impact of COVID-19, emphasis will be placed on projects within the areas of infectious disease, immunology, vaccine and drug discovery, and innovative service delivery models including telehealth and telemedicine. Funding innovative, collaborative, translational research projects that elevate the level of sponsored research at Virginia's universities and have the potential to create high value jobs in the Commonwealth. Grants range from $200,000 to $800,000.",https://www.virginiacatalyst.org/uploads/7/3/8/8/73883877/final_press_release_round_11_call_for_proposals_april2020.pdf,Technology and Computer Science
