Project Title,Source,Project Description
Notice of Special Interest (NOSI): Clinical and Translational Science Award (CTSA) Program Applications to Address 2019 Novel Coronavirus (COVID-19) Public Heath Need,Virginia Tech,"There are various due dates for the different award types. Check the solicitation for specific due dates.
National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 novel Coronavirus (COVID-19). NCATS is particularly interested in projects focusing on the use of informatics solutions to diagnose cases and the use of CTSA-supported core resources (e.g., advanced scientific instruments, highly-specialized facilities, and regulatory expertise) to facilitate research on COVID-19 and advance the translation of research findings into diagnostics, therapeutics, and vaccines. NCATS is soliciting applications for Administrative Supplements to UL1, U01, and R21 awards (through PA-18-591), Collaborative Innovation Awards to U01 and R21 awards (through PAR-19-099 and PAR-19-100, respectively), and Competitive Revisions for UL1 awards for each of the non-administrative supplement awards (through PAR-19-337)."
Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R01 Clinical Trial Not Allowed),Virginia Tech,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority."
Notice of Special Interest (NOSI): Development of Biomedical Technologies for Coronavirus Disease 2019 (COVID-19),Virginia Tech,"Applications will be accepted on a rolling basis through March 30, 2021.
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies. R01 - PA-19-056 - NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed) - 1st Due Date - June 5, 2020 R01 - PA-18-418 - NIBIB Research Project Grant (R01 Clinical Trial Required) - 1st Due Date - June 5, 2020 R01 - PAR-18-530 - Academic-Industrial Partnerships for Translation of Technologies for Diagnosis &Treatment (R01-Clinical Trial Optional) - 1st Due Date - June 5, 2020 R01 - PAR-20-155 - Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional) - 1st Due Date - June 5, 2020 R21 - PAR-20-084 - NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R21 - PAR-18-433 - NIBIB Exploratory/Developmental Research Grant Program (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R03 - PA-19-052 - NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed) - 1st Due Date - June 16, 2020"
Notice of Special Interest (NOSI): Availability of Urgent Competitive Revision Supplements on Coronavirus Disease 2019 (COVID-19) within the Mission of NIDDK,Virginia Tech,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on Coronavirus Disease 2019 (COVID-19). NIDDK is particularly interested in projects focusing on the direct action of the virus on kidney, gastrointestinal tract function, and the endocrine/metabolic system, and the collection of biosamples that will inform the understanding of renal, gastrointestinal, and endocrine/metabolic sequelae of viral infection. In order to rapidly improve our understanding and available control measures for COVID-19, NIDDK is encouraging the submission of applications for Competitive Revisions to active grants to address several research areas of interest."
Notice of Special Interest (NOSI) regarding the Availability of Urgent Competitive Revisions for Research on Coronavirus Disease 2019 (COVID-19) and the Causative Virus SARS-CoV-2,Virginia Tech,"Applications will be accepted on a rolling basis through February 5, 2021.
National Iinstitute of General Medical Sciences will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: Incorporation of data related to SARS-CoV-2 into ongoing research efforts to develop predictive models for the spread of SARS-CoV-2 and other related infectious agents (all relevant grants). Repurposing or modification of diagnostic tools currently under development to enable rapid detection of SARS-CoV-2 infection (SBIR/STTR grants only). Rapid development of potential therapeutic agents for COVID-19 (SBIR/STTR only)."
Long-Term Effects of Disasters on Health Care Systems Serving Health Disparity Populations (R01- Clinical Trial Optional),Virginia Tech,"The letter of intent due date is September 04, 2020. The first standard due date for this FOA is October 5, 2020.
The purpose of this Funding Opportunity Announcement (FOA) is to support investigative and collaborative research focused on understanding the long-term effects of natural and/or human-made disasters on health care systems serving health disparity populations in communities in the U.S., including the U.S. territories. NIH-designated health disparity populations include racial and ethnic minorities (Blacks/African Americans, Hispanics/Latinos, American Indians/Alaska Natives, Asians, Native Hawaiians and other Pacific Islanders), sexual and gender minorities, socioeconomically disadvantaged populations, and underserved rural populations."
Notice of Special Interest (NOSI) regarding the Availability of Administrative Supplements and Urgent Competitive Revisions for Research on the 2019 Novel Coronavirus and the Behavioral and Social Sciences,Virginia Tech,"Applications will be accepted on a rolling basis through March 31, 2021.
The following Institute/Centers :Office of Behavioral and Social Sciences Research (OBSSR), National Heart, Lung, and Blood Institute (NHLBI), National Institute on Aging (NIA), National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), National Institute of Environmental Health Sciences (NIEHS), National Center for Complementary and Integrative Health (NCCIH) are encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants. This Notice of Special Interest (NOSI) highlights the urgent need for social, behavioral, economic, health communication, and epidemiologic research relevant to the 2019 Novel Coronavirus (SARS-CoV-2) and COVID-19. This NOSI encourages urgent competitive supplements and administrative supplements to existing longitudinal studies that address key social and behavioral questions related to the COVID-19 pandemic, including adherence to and transmission mitigation from various containment and mitigation efforts; social, behavioral, and economic impacts from these containment and mitigation efforts; and downstream health impacts resulting from these social, behavioral, and economic impacts,including differences in risk and resiliency based on gender, race and ethnicity, socioeconomic status, and other social determinants of health."
Notice of Special Interest (NOSI): National Institute on Aging Availability of Administrative Supplements and Revision Supplements on Coronavirus Disease 2019 (COVID-19),Virginia Tech,"Applications will be accepted on a rolling basis from April 6, 2020 through May 1, 2021.
National Institute on Aging (NIA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address the following research areas of interest: Division of Aging Biology, Division of Neuroscience, Division of Geriatrics and Clinical Gerontology, Division of Behavioral and Social Research. The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs and/or suicide risk in midlife and older age adults will be seen as a high priority."
Notice of Special Interest (NOSI) regarding the Availability of Urgent Competitive Revisions and Administrative Supplements for Research on Coronavirus Disease 2019 (COVID-19),Virginia Tech,"Applications will be accepted on a rolling basis from April 7, 2020 to June 1, 2020.
National Institute on Deafness and Other Communication Disorders (NIDCD) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) in relation to NIDCD's scientific mission areas of hearing, balance, taste, smell, voice, speech and language. In order to rapidly improve our understanding of the infection of SARS-CoV-2 and of COVID-19, NIDCD is encouraging the submission of applications for supplements to active NIDCD grants to address the pathology, prevention, diagnosis, sequelae, or treatment of COVID-19 directly related to NIDCD's mission areas."
"Making Innovative Use of NASA Satellite Data to Address Environmental, Economic, and/or Societal Impacts of the COVID-19 pandemic",Virginia Tech,"Applications will be accepted on a rolling basis through March 29, 2021.
Current Principal investigators within NASA's Earth Science Division (ESD) Research and Analysis (R&A), Applied Sciences Program (ASP), and Earth Science Data Systems Program (ESDS) have begun to reach out to their program managers to explore and/or ask about the possibility of redirecting existing efforts and/or requesting additional support to utilize NASA products to address the environmental, economic, and/or societal impacts of the COVID-19 pandemic. Relative to potential requests for new and/or additional support, NASA's Earth Science Division (ESD) would like to call the attention of the Earth Science research, applications, and data systems communities to Program Element A.28 ""Rapid Response and Novel Research in Earth Science"" (RRNES) of Research Opportunities in Space and Earth Sciences (ROSES) 2020 as an opportunity to propose investigations making innovative use of NASA satellite data to address regional-to-global environmental, economic, and/or societal impacts of the COVID-19 pandemic."
COVID-19 Targeted PFA,Virginia Tech,"This PCORI Funding Announcement will open on Tuesday, May 5, 2020, with more information about the funding opportunity.
In order to respond to the COVID-19 pandemic, PCORI intends to publish a new research funding announcement to support innovative, high-impact studies that fit clearly within our core mission of patient-engaged and patient-centered comparative clinical effectiveness research. The objectives of this announcement are to (1) strengthen the understanding of different approaches to mitigate the impact of COVID-19 on individuals, communities, healthcare providers, and healthcare systems; and (2) provide evidence to inform clinical and public health responses, decision making, and planning. The targeted priority areas include: 1) Adaptations to healthcare delivery, 2) Impact of COVID-19 on vulnerable populations and 3) Impact of COVID-19 on healthcare workforce well-being, management, and training."
COVID-19 Funding Requests and Unsolicited Proposals,Virginia Tech,Partners may submit unsolicited proposals to COVID19_Concepts@usaid.gov.
Rapid Response to Novel Coronavirus (SARS-COV-2) Impacts Across Food and Agricultural Systems,Virginia Tech,"See pages 72-75 of the RFA for the COVID-19 section. This Program Area Priority is due 06/04/2020.
The COVID-19 pandemic is impacting the nation’s food and agricultural systems. Currently, data is needed to reliably guide decision-making that are supported by scientific evidence. This program area priority addresses the need to develop and deploy rapid, reliable, and readily adoptable strategies across the food and agriculture enterprise in response to the COVID-19 pandemic. These strategies should mitigate urgent threats from the COVID-19 virus (SARS-CoV-2) and ensure the availability of an accessible, safe, nutritious, and abundant food supply. Proposals addressing this priority can be local, regional or national in scope and should employ interdisciplinary teams with the capacity to address the range of problems faced by the entire food and agriculture enterprise, from production to consumption. Funded projects are expected to provide solutions to include tools, techniques, technologies, food supply logistics, innovations, and other practices that can be rapidly adopted by various end-users."
Combatting COVID-19 Pandemic and Proliferation Threats,Virginia Tech,"The RFP is included in our link for your information. The Notice of Funding Opportunity can be found on the SAMS Domestic website at the following link: https://mygrants.servicenowservices.com/grants?id=grants_funding_opportunity&table=u_domestic_funding_opportunity&sys_id=f8ca44421b1c58104e7185dae54bcb42&view=Default
The Department of State’s Bureau of International Security and Nonproliferation, Office of Export Control Cooperation (ISN/ECC) is pleased to announce a new funding opportunity through this Notice of Funding Opportunity (NOFO).  Under this NOFO, ISN/ECC seeks proposals to advance U.S. foreign policy and national security priorities aimed at supporting initiatives that make decision-making structures and processes in fragile, conflict, or crisis-affected contexts more reflective of and responsive to the needs and perspectives of partner states. Initiatives should ensure strategic trade control systems meet international standards and by engaging on bilateral, regional and multilateral levels with foreign governments to aid in the establishment of independent capabilities to regulate transfers of weapons of mass destruction (WMD), WMD-related items, conventional arms, and related dual-use items, and to detect, interdict, investigate, and prosecute illicit transfers of such items.  As ISN/ECC operates in over 50 countries, this funding opportunity seeks to create regional and country-specific impactful and focused immediate, medium, and long-term rapid prevention and response capabilities to emerging biological threats such as COVID-19."
FDA Postgraduate COVID-19 Analysis Fellowship,Virginia Tech,"Applications will be reviewed on a rolling basis through 9/24/2020.
A research opportunity is currently available with the Division of Plasma Protein Therapeutics (DPPT), in the Office of Tissues and Advanced Therapies (OTAT), at the Center for Biologics Evaluation and Research (CBER), Food and Drug Administration (FDA) located in Silver Spring, Maryland. The recent emergence of SARS-CoV-2, the causative agent of COVID-19, has sparked a global search for effective therapies and a vaccine. DPPT has a research opportunity for a recent graduate in computational biology /bioinformatics / computer science to be involved with a project related to COVID-19. The project focuses on using computational models to predict efficacy of novel drugs and biologics, including neutralizing antibodies, against SARS-CoV-2. The project also has a focus on vaccine design through sequence deoptimization. This will involve the use of existing bioinformatics pipelines and development of novel computational tools."
